File,ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
wals-chapter-50,50A-nen,nen,Nenets,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,Tereshchenko-1966a[379-385];Salminen-1998[537-541],
wals-chapter-50,50A-urk,urk,Urubú-Kaapor,50A,Asymmetrical Case-Marking,No case-marking,"Kakumasu-1986[327-331, 350-353, 368, 382-384]",
wals-chapter-50,50A-coo,coo,Coos (Hanis),50A,Asymmetrical Case-Marking,Symmetrical,"Frachtenberg-1922a[323-326, 367-371]",
wals-chapter-50,50A-cre,cre,Cree (Plains),50A,Asymmetrical Case-Marking,Symmetrical,Dahlstrom-1991[12-13];Wolfart-and-Carroll-1981[35-42],
wals-chapter-50,50A-nht,nht,Nahuatl (Tetelcingo),50A,Asymmetrical Case-Marking,No case-marking,"Tuggy-1979[51-53, 61-64]",
wals-chapter-50,50A-yim,yim,Yimas,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,Foley-1991[165-171],
wals-chapter-50,50A-ika,ika,Ika,50A,Asymmetrical Case-Marking,Symmetrical,"Frank-1990[8-10, 25-26, 35-44]",
wals-chapter-50,50A-kse,kse,Koyraboro Senni,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Heath-1999a[54-59, 79-81, 134-141]",
wals-chapter-50,50A-mun,mun,Mundari,50A,Asymmetrical Case-Marking,Symmetrical,"Sinha-1975[60-64, 111, 115-117, 120-125];Osada-1992[46-55, 64-66, 127-129]",
wals-chapter-50,50A-yid,yid,Yidiny,50A,Asymmetrical Case-Marking,Qualitatively asymmetrical,"Dixon-1977a[124-149, 157-161, 167-172, 186-194, 196-199]",
wals-chapter-50,50A-krk,krk,Karok,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Bright-1957[73-74, 128-131]",
wals-chapter-50,50A-brs,brs,Barasano,50A,Asymmetrical Case-Marking,Symmetrical,"Jones-and-Jones-1991[35, 37, 65-72]",
wals-chapter-50,50A-tab,tab,Taba,50A,Asymmetrical Case-Marking,No case-marking,"Bowden-1997a[130-132, 205-206, 215-217]",
